期間,排名,國家,貿易總值（新臺幣千元）,百分比,備註
108年1-9月,1,中國大陸,3349023888,23.87,
108年1-9月,2,美國,1850302270,13.19,
108年1-9月,3,日本,1520749666,10.84,
108年1-9月,4,香港,944285571,6.73,
108年1-9月,5,南韓,790488146,5.63,
108年1-9月,6,新加坡,594811026,4.24,
108年1-9月,7,馬來西亞,455930286,3.25,
108年1-9月,8,德國,368411850,2.63,
108年1-9月,9,越南,367570135,2.62,
108年1-9月,10,澳大利亞,307985030,2.2,
108年1-9月,11,荷蘭,291576596,2.08,
108年1-9月,12,其他國家,260880199,1.86,
108年1-9月,13,泰國,226588549,1.62,
108年1-9月,14,沙烏地阿拉伯,211732596,1.51,
108年1-9月,15,菲律賓,195037334,1.39,
108年1-9月,16,印尼,179363304,1.28,
108年1-9月,17,阿拉伯聯合大公國,147572004,1.05,
108年1-9月,18,印度,132058032,0.94,
108年1-9月,19,英國,129067548,0.92,
108年1-9月,20,法國,112583034,0.8,
108年1-9月,21,義大利,106617731,0.76,
108年1-9月,22,科威特,102447720,0.73,
108年1-9月,23,俄羅斯,100971293,0.72,
108年1-9月,24,加拿大,100340091,0.72,
108年1-9月,25,墨西哥,83211686,0.59,
108年1-9月,26,巴西,76241287,0.54,
108年1-9月,27,卡達,69851635,0.5,
108年1-9月,28,瑞士,55432909,0.4,
108年1-9月,29,比利時,47816497,0.34,
108年1-9月,30,西班牙,46670020,0.33,
108年9月,1,中國大陸,419360910,25.31,
108年9月,2,美國,206847058,12.48,
108年9月,3,日本,183363402,11.06,
108年9月,4,香港,111577351,6.73,
108年9月,5,南韓,86539429,5.22,
108年9月,6,新加坡,75155039,4.54,
108年9月,7,馬來西亞,50164489,3.03,
108年9月,8,荷蘭,50123544,3.02,
108年9月,9,越南,46610341,2.81,
108年9月,10,德國,40538178,2.45,
108年9月,11,其他國家,33771843,2.04,
108年9月,12,澳大利亞,29611223,1.79,
108年9月,13,泰國,25227998,1.52,
108年9月,14,菲律賓,25117475,1.52,
108年9月,15,印尼,24246121,1.46,
108年9月,16,沙烏地阿拉伯,23585255,1.42,
108年9月,17,印度,16324400,0.99,
108年9月,18,阿拉伯聯合大公國,14166479,0.85,
108年9月,19,英國,13920155,0.84,
108年9月,20,義大利,11353564,0.69,
108年9月,21,法國,11308826,0.68,
108年9月,22,俄羅斯,11133186,0.67,
108年9月,23,加拿大,10367399,0.63,
108年9月,24,墨西哥,10334536,0.62,
108年9月,25,卡達,9702159,0.59,
108年9月,26,巴西,9133186,0.55,
108年9月,27,瑞士,6638140,0.4,
108年9月,28,伊拉克,5603700,0.34,
108年9月,29,智利,5423204,0.33,
108年9月,30,比利時,4894115,0.3,
108年8月,1,中國大陸,394848813,24.42,
108年8月,2,美國,210707742,13.03,
108年8月,3,日本,164084265,10.15,
108年8月,4,香港,119516523,7.39,
108年8月,5,南韓,89195435,5.52,
108年8月,6,新加坡,69762938,4.31,
108年8月,7,馬來西亞,50547785,3.13,
108年8月,8,越南,45285051,2.8,
108年8月,9,德國,37468898,2.32,
108年8月,10,荷蘭,36441970,2.25,
108年8月,11,澳大利亞,34130886,2.11,
108年8月,12,其他國家,32816161,2.03,
108年8月,13,沙烏地阿拉伯,25098762,1.55,
108年8月,14,泰國,23460154,1.45,
108年8月,15,菲律賓,22302562,1.38,
108年8月,16,印尼,20734620,1.28,
108年8月,17,科威特,20098726,1.24,
108年8月,18,阿拉伯聯合大公國,16092393,1,
108年8月,19,英國,14677162,0.91,
108年8月,20,印度,14380856,0.89,
108年8月,21,俄羅斯,12630399,0.78,
108年8月,22,義大利,11320058,0.7,
108年8月,23,加拿大,11316373,0.7,
108年8月,24,法國,11223155,0.69,
108年8月,25,墨西哥,10420669,0.64,
108年8月,26,巴西,8768394,0.54,
108年8月,27,智利,6251938,0.39,
108年8月,28,瑞士,6028273,0.37,
108年8月,29,西班牙,5607858,0.35,
108年8月,30,比利時,5278477,0.33,
108年7月,1,中國大陸,397385835,24.32,
108年7月,2,美國,214367549,13.12,
108年7月,3,日本,168902353,10.34,
108年7月,4,香港,109926425,6.73,
108年7月,5,南韓,96421156,5.9,
108年7月,6,新加坡,72226614,4.42,
108年7月,7,馬來西亞,55195451,3.38,
108年7月,8,德國,44424140,2.72,
108年7月,9,越南,40931886,2.51,
108年7月,10,澳大利亞,37068268,2.27,
108年7月,11,其他國家,32687119,2,
108年7月,12,泰國,27188289,1.66,
108年7月,13,菲律賓,23600176,1.44,
108年7月,14,荷蘭,23054885,1.41,
108年7月,15,沙烏地阿拉伯,20155613,1.23,
108年7月,16,阿拉伯聯合大公國,19697878,1.21,
108年7月,17,印尼,19636815,1.2,
108年7月,18,英國,14948089,0.91,
108年7月,19,印度,14300674,0.88,
108年7月,20,科威特,12877658,0.79,
108年7月,21,法國,12808443,0.78,
108年7月,22,墨西哥,12108055,0.74,
108年7月,23,義大利,11968952,0.73,
108年7月,24,俄羅斯,11910208,0.73,
108年7月,25,加拿大,11516872,0.7,
108年7月,26,巴西,10148394,0.62,
108年7月,27,阿曼,7849630,0.48,
108年7月,28,瑞士,6360279,0.39,
108年7月,29,卡達,6221520,0.38,
108年7月,30,比利時,5882826,0.36,
108年6月,1,中國大陸,379832480,22.96,
108年6月,2,美國,224491258,13.57,
108年6月,3,日本,185188217,11.2,
108年6月,4,香港,114614444,6.93,
108年6月,5,南韓,101420742,6.13,
108年6月,6,新加坡,67879970,4.1,
108年6月,7,馬來西亞,54445166,3.29,
108年6月,8,越南,43945411,2.66,
108年6月,9,荷蘭,43081028,2.6,
108年6月,10,德國,41484728,2.51,
108年6月,11,澳大利亞,36908657,2.23,
108年6月,12,泰國,26188422,1.58,
108年6月,13,其他國家,25820819,1.56,
108年6月,14,沙烏地阿拉伯,22186992,1.34,
108年6月,15,菲律賓,20935816,1.27,
108年6月,16,印尼,20513532,1.24,
108年6月,17,阿拉伯聯合大公國,20426505,1.23,
108年6月,18,印度,15109361,0.91,
108年6月,19,英國,14749479,0.89,
108年6月,20,法國,13106209,0.79,
108年6月,21,義大利,12197629,0.74,
108年6月,22,俄羅斯,10857993,0.66,
108年6月,23,伊拉克,10843453,0.66,
108年6月,24,加拿大,10675325,0.65,
108年6月,25,巴西,9070823,0.55,
108年6月,26,科威特,8924674,0.54,
108年6月,27,墨西哥,8656006,0.52,
108年6月,28,瑞士,7393545,0.45,
108年6月,29,卡達,5962671,0.36,
108年6月,30,比利時,5487227,0.33,
108年5月,1,中國大陸,374179440,23.86,
108年5月,2,美國,208318826,13.28,
108年5月,3,日本,154905879,9.88,
108年5月,4,香港,112836686,7.2,
108年5月,5,南韓,82916537,5.29,
108年5月,6,新加坡,66948435,4.27,
108年5月,7,馬來西亞,48834428,3.11,
108年5月,8,德國,45247615,2.89,
108年5月,9,越南,39907287,2.54,
108年5月,10,澳大利亞,36885889,2.35,
108年5月,11,沙烏地阿拉伯,34929882,2.23,
108年5月,12,荷蘭,27967559,1.78,
108年5月,13,其他國家,26652829,1.7,
108年5月,14,泰國,26185742,1.67,
108年5月,15,菲律賓,22875920,1.46,
108年5月,16,印尼,18500371,1.18,
108年5月,17,阿拉伯聯合大公國,15725911,1,
108年5月,18,印度,14655095,0.93,
108年5月,19,英國,13817719,0.88,
108年5月,20,義大利,13401669,0.85,
108年5月,21,法國,12397677,0.79,
108年5月,22,科威特,12048738,0.77,
108年5月,23,俄羅斯,11628789,0.74,
108年5月,24,加拿大,10394704,0.66,
108年5月,25,卡達,9562519,0.61,
108年5月,26,墨西哥,8559692,0.55,
108年5月,27,巴西,8264410,0.53,
108年5月,28,智利,6565308,0.42,
108年5月,29,瑞士,5941893,0.38,
108年5月,30,比利時,5313952,0.34,
108年4月,1,中國大陸,351232081,23.5,
108年4月,2,美國,202661456,13.56,
108年4月,3,日本,160166890,10.72,
108年4月,4,香港,96709764,6.47,
108年4月,5,南韓,85766863,5.74,
108年4月,6,新加坡,63509409,4.25,
108年4月,7,馬來西亞,50346211,3.37,
108年4月,8,越南,41783994,2.8,
108年4月,9,德國,38506011,2.58,
108年4月,10,澳大利亞,33056252,2.21,
108年4月,11,其他國家,26730105,1.79,
108年4月,12,泰國,24083811,1.61,
108年4月,13,沙烏地阿拉伯,23002818,1.54,
108年4月,14,印尼,22302785,1.49,
108年4月,15,荷蘭,22227492,1.49,
108年4月,16,阿拉伯聯合大公國,20328102,1.36,
108年4月,17,菲律賓,18534748,1.24,
108年4月,18,英國,14411207,0.96,
108年4月,19,印度,13655935,0.91,
108年4月,20,加拿大,13179175,0.88,
108年4月,21,法國,12186896,0.82,
108年4月,22,科威特,11505509,0.77,
108年4月,23,義大利,11146934,0.75,
108年4月,24,俄羅斯,9580760,0.64,
108年4月,25,巴西,9106253,0.61,
108年4月,26,墨西哥,9040126,0.6,
108年4月,27,卡達,7999128,0.54,
108年4月,28,瑞士,5919578,0.4,
108年4月,29,西班牙,5636489,0.38,
108年4月,30,比利時,4688788,0.31,
108年3月,1,中國大陸,396139287,23.82,
108年3月,2,美國,216486240,13.02,
108年3月,3,日本,198139014,11.92,
108年3月,4,香港,111287914,6.69,
108年3月,5,南韓,88064717,5.3,
108年3月,6,新加坡,64607183,3.89,
108年3月,7,馬來西亞,54217583,3.26,
108年3月,8,越南,45879219,2.76,
108年3月,9,德國,45369355,2.73,
108年3月,10,澳大利亞,36653560,2.2,
108年3月,11,荷蘭,34636111,2.08,
108年3月,12,其他國家,31771220,1.91,
108年3月,13,泰國,27041191,1.63,
108年3月,14,菲律賓,21144515,1.27,
108年3月,15,印尼,20519678,1.23,
108年3月,16,沙烏地阿拉伯,19604943,1.18,
108年3月,17,阿拉伯聯合大公國,15564445,0.94,
108年3月,18,英國,15550194,0.94,
108年3月,19,印度,14897670,0.9,
108年3月,20,科威特,14218235,0.86,
108年3月,21,法國,14171881,0.85,
108年3月,22,義大利,12956633,0.78,
108年3月,23,加拿大,12726481,0.77,
108年3月,24,俄羅斯,11617811,0.7,
108年3月,25,墨西哥,9032443,0.54,
108年3月,26,卡達,8625577,0.52,
108年3月,27,巴西,8039810,0.48,
108年3月,28,阿曼,7390811,0.44,
108年3月,29,西班牙,6876895,0.41,
108年3月,30,比利時,6868589,0.41,
108年2月,1,中國大陸,240284807,21.91,
108年2月,2,美國,146879379,13.39,
108年2月,3,日本,135215106,12.33,
108年2月,4,香港,68068218,6.21,
108年2月,5,南韓,61644611,5.62,
108年2月,6,新加坡,50724333,4.63,
108年2月,7,馬來西亞,35234607,3.21,
108年2月,8,德國,29930055,2.73,
108年2月,9,澳大利亞,25741761,2.35,
108年2月,10,荷蘭,25687743,2.34,
108年2月,11,越南,25660968,2.34,
108年2月,12,泰國,20343232,1.85,
108年2月,13,其他國家,19713390,1.8,
108年2月,14,菲律賓,19495391,1.78,
108年2月,15,沙烏地阿拉伯,13062969,1.19,
108年2月,16,印尼,12021884,1.1,
108年2月,17,印度,11773742,1.07,
108年2月,18,英國,10903585,0.99,
108年2月,19,法國,10324283,0.94,
108年2月,20,阿拉伯聯合大公國,9549323,0.87,
108年2月,21,義大利,8929803,0.81,
108年2月,22,加拿大,8142185,0.74,
108年2月,23,俄羅斯,7810447,0.71,
108年2月,24,伊拉克,7186398,0.66,
108年2月,25,墨西哥,5987445,0.55,
108年2月,26,卡達,5883078,0.54,
108年2月,27,巴西,4143808,0.38,
108年2月,28,瑞士,4103990,0.37,
108年2月,29,比利時,4025435,0.37,
108年2月,30,以色列,3730273,0.34,
108年1月,1,中國大陸,395760235,24.06,
108年1月,2,美國,219542762,13.35,
108年1月,3,日本,170784540,10.38,
108年1月,4,香港,99748246,6.06,
108年1月,5,南韓,98518656,5.99,
108年1月,6,新加坡,63997105,3.89,
108年1月,7,馬來西亞,56944566,3.46,
108年1月,8,德國,45442870,2.76,
108年1月,9,澳大利亞,37928534,2.31,
108年1月,10,越南,37565978,2.28,
108年1月,11,其他國家,30916713,1.88,
108年1月,12,沙烏地阿拉伯,30105362,1.83,
108年1月,13,荷蘭,28356264,1.72,
108年1月,14,泰國,26869710,1.63,
108年1月,15,菲律賓,21030731,1.28,
108年1月,16,印尼,20887498,1.27,
108年1月,17,印度,16960299,1.03,
108年1月,18,英國,16089958,0.98,
108年1月,19,阿拉伯聯合大公國,16020968,0.97,
108年1月,20,法國,15055664,0.92,
108年1月,21,科威特,14610955,0.89,
108年1月,22,俄羅斯,13801700,0.84,
108年1月,23,義大利,13342489,0.81,
108年1月,24,加拿大,12021577,0.73,
108年1月,25,卡達,10835200,0.66,
108年1月,26,巴西,9566209,0.58,
108年1月,27,墨西哥,9072714,0.55,
108年1月,28,瑞士,6179577,0.38,
108年1月,29,以色列,5936541,0.36,
108年1月,30,阿曼,5778855,0.35,
107年1-12月,1,中國大陸,4531484813,24.29,
107年1-12月,2,美國,2190330109,11.74,
107年1-12月,3,日本,2017270090,10.81,
107年1-12月,4,香港,1290080709,6.92,
107年1-12月,5,南韓,1064351613,5.71,
107年1-12月,6,新加坡,776282441,4.16,
107年1-12月,7,馬來西亞,600443483,3.22,
107年1-12月,8,德國,513193767,2.75,
107年1-12月,9,越南,436393115,2.34,
107年1-12月,10,澳大利亞,390645176,2.09,
107年1-12月,11,菲律賓,343812047,1.84,
107年1-12月,12,其他國家,341668979,1.83,
107年1-12月,13,泰國,323740135,1.74,
107年1-12月,14,荷蘭,293909121,1.58,
107年1-12月,15,沙烏地阿拉伯,282780811,1.52,
107年1-12月,16,印尼,266116142,1.43,
107年1-12月,17,印度,212003957,1.14,
107年1-12月,18,英國,178943137,0.96,
107年1-12月,19,阿拉伯聯合大公國,176188212,0.94,
107年1-12月,20,俄羅斯,162149834,0.87,
107年1-12月,21,法國,161801491,0.87,
107年1-12月,22,科威特,158889400,0.85,
107年1-12月,23,義大利,151110790,0.81,
107年1-12月,24,加拿大,135666031,0.73,
107年1-12月,25,墨西哥,98782068,0.53,
107年1-12月,26,卡達,92037404,0.49,
107年1-12月,27,巴西,89742045,0.48,
107年1-12月,28,阿曼,75920894,0.41,
107年1-12月,29,瑞士,75476682,0.4,
107年1-12月,30,比利時,62313380,0.33,
107年12月,1,中國大陸,399006284,24.84,
107年12月,2,美國,205602335,12.8,
107年12月,3,日本,167559064,10.43,
107年12月,4,香港,101945019,6.35,
107年12月,5,南韓,85730457,5.34,
107年12月,6,新加坡,64571459,4.02,
107年12月,7,馬來西亞,54152381,3.37,
107年12月,8,德國,44784344,2.79,
107年12月,9,澳大利亞,40829267,2.54,
107年12月,10,越南,39858159,2.48,
107年12月,11,荷蘭,28911836,1.8,
107年12月,12,其他國家,28240704,1.76,
107年12月,13,泰國,24822072,1.55,
107年12月,14,印尼,21321623,1.33,
107年12月,15,菲律賓,20528735,1.28,
107年12月,16,沙烏地阿拉伯,20439890,1.27,
107年12月,17,印度,16940479,1.05,
107年12月,18,英國,16187902,1.01,
107年12月,19,阿拉伯聯合大公國,14616164,0.91,
107年12月,20,義大利,13228546,0.82,
107年12月,21,法國,13056824,0.81,
107年12月,22,俄羅斯,12665627,0.79,
107年12月,23,加拿大,11840891,0.74,
107年12月,24,科威特,10576954,0.66,
107年12月,25,阿曼,10315445,0.64,
107年12月,26,巴西,8889301,0.55,
107年12月,27,墨西哥,8553606,0.53,
107年12月,28,伊拉克,8133685,0.51,
107年12月,29,卡達,6409003,0.4,
107年12月,30,瑞士,6063310,0.38,
107年11月,1,中國大陸,396415388,25.35,
107年11月,2,美國,195143811,12.48,
107年11月,3,日本,166651192,10.66,
107年11月,4,香港,101920105,6.52,
107年11月,5,南韓,94928555,6.07,
107年11月,6,新加坡,68222270,4.36,
107年11月,7,馬來西亞,52846196,3.38,
107年11月,8,德國,38960980,2.49,
107年11月,9,越南,36194709,2.31,
107年11月,10,澳大利亞,32300199,2.07,
107年11月,11,其他國家,32050170,2.05,
107年11月,12,泰國,26129222,1.67,
107年11月,13,菲律賓,26000970,1.66,
107年11月,14,印尼,24519987,1.57,
107年11月,15,沙烏地阿拉伯,22466385,1.44,
107年11月,16,荷蘭,21881455,1.4,
107年11月,17,科威特,18147148,1.16,
107年11月,18,印度,17568142,1.12,
107年11月,19,英國,14238361,0.91,
107年11月,20,俄羅斯,12278056,0.79,
107年11月,21,阿拉伯聯合大公國,12220037,0.78,
107年11月,22,法國,11239399,0.72,
107年11月,23,加拿大,10930691,0.7,
107年11月,24,義大利,10830735,0.69,
107年11月,25,墨西哥,8496622,0.54,
107年11月,26,卡達,7588642,0.49,
107年11月,27,巴西,6217231,0.4,
107年11月,28,瑞士,5908711,0.38,
107年11月,29,阿曼,5498690,0.35,
107年11月,30,巴基斯坦,4705741,0.3,
107年10月,1,中國大陸,428143017,25.03,
107年10月,2,美國,198561424,11.61,
107年10月,3,日本,182786016,10.69,
107年10月,4,香港,112828993,6.6,
107年10月,5,南韓,112028845,6.55,
107年10月,6,新加坡,75340687,4.41,
107年10月,7,馬來西亞,55839600,3.27,
107年10月,8,德國,45531635,2.66,
107年10月,9,越南,40225610,2.35,
107年10月,10,澳大利亞,37997005,2.22,
107年10月,11,其他國家,31527775,1.84,
107年10月,12,菲律賓,29060738,1.7,
107年10月,13,泰國,28890232,1.69,
107年10月,14,沙烏地阿拉伯,26247029,1.53,
107年10月,15,荷蘭,24184233,1.41,
107年10月,16,印尼,23882634,1.4,
107年10月,17,印度,19800532,1.16,
107年10月,18,法國,16072428,0.94,
107年10月,19,阿拉伯聯合大公國,16046159,0.94,
107年10月,20,俄羅斯,15274085,0.89,
107年10月,21,英國,14422660,0.84,
107年10月,22,義大利,12438515,0.73,
107年10月,23,加拿大,11954809,0.7,
107年10月,24,科威特,10383484,0.61,
107年10月,25,墨西哥,9798787,0.57,
107年10月,26,瑞士,7596230,0.44,
107年10月,27,伊拉克,7428176,0.43,
107年10月,28,巴西,6262685,0.37,
107年10月,29,卡達,5866584,0.34,
107年10月,30,比利時,5336908,0.31,
107年9月,1,中國大陸,415107189,24.71,
107年9月,2,美國,203139569,12.09,
107年9月,3,日本,175117837,10.43,
107年9月,4,香港,114492972,6.82,
107年9月,5,南韓,97905482,5.83,
107年9月,6,新加坡,66785659,3.98,
107年9月,7,馬來西亞,52519896,3.13,
